algorithm_name,env_n,size,best_solution,H,states,time
random,10,8,"[7, 5, 0, 5, 1, 4, 6, 3]",1,5000,0.023142349000409013
HC,10,8,"[0, 5, 7, 1, 3, 7, 2, 4]",1,225,0.0005485020010382868
SA,10,8,"[6, 0, 2, 7, 5, 3, 1, 4]",0,1828,0.0054642969989799894
GA,10,8,"[7, 5, 0, 5, 1, 4, 6, 3]",1,5000,0.23671557400302845
random,11,8,"[6, 1, 3, 0, 6, 4, 2, 5]",1,5000,0.022972789000050398
HC,11,8,"[4, 0, 5, 3, 1, 7, 2, 2]",1,337,0.0007835169999452773
SA,11,8,"[3, 1, 6, 2, 0, 7, 4, 0]",1,2758,0.008402703002502676
GA,11,8,"[2, 4, 7, 0, 2, 6, 1, 3]",1,5000,0.24008931600110373
random,12,8,"[2, 5, 3, 6, 0, 2, 4, 7]",1,5000,0.023024846999760484
HC,12,8,"[4, 2, 5, 1, 6, 0, 3, 7]",1,281,0.0006833730003563687
SA,12,8,"[1, 4, 6, 0, 2, 7, 5, 3]",0,2088,0.006422131002182141
GA,12,8,"[2, 5, 3, 6, 0, 2, 4, 7]",1,5000,0.2544838190005976
random,13,8,"[3, 6, 2, 1, 5, 7, 2, 4]",2,5000,0.02303853400007938
HC,13,8,"[4, 4, 1, 3, 6, 3, 7, 2]",2,225,0.0005154119971848559
SA,13,8,"[3, 5, 7, 2, 0, 6, 4, 1]",0,1814,0.005549902001803275
GA,13,8,"[3, 1, 7, 2, 4, 6, 0, 5]",1,5000,0.2518967549985973
random,14,8,"[4, 2, 0, 3, 1, 7, 5, 2]",1,5000,0.023077235000528162
HC,14,8,"[3, 6, 0, 2, 4, 1, 7, 4]",1,281,0.0006560090005223174
SA,14,8,"[3, 1, 6, 4, 0, 7, 5, 2]",0,1728,0.005220476999966195
GA,14,8,"[2, 2, 5, 3, 7, 0, 4, 6]",2,5000,0.2540712039990467
random,15,8,"[6, 1, 7, 1, 3, 0, 2, 5]",2,5000,0.02303677400050219
HC,15,8,"[1, 7, 0, 6, 3, 5, 0, 4]",1,337,0.0007753619975119364
SA,15,8,"[5, 7, 1, 3, 0, 6, 4, 2]",0,1843,0.0055594600016775075
GA,15,8,"[5, 2, 0, 7, 3, 1, 6, 4]",0,1062,0.03503789399837842
random,16,8,"[3, 0, 6, 4, 1, 7, 0, 2]",1,5000,0.02320212699851254
HC,16,8,"[5, 1, 1, 6, 6, 3, 7, 0]",2,225,0.0005537440010812134
SA,16,8,"[2, 5, 3, 0, 7, 4, 6, 1]",0,1831,0.005660870996507583
GA,16,8,"[3, 6, 2, 5, 1, 4, 7, 0]",1,5000,0.2516400899985456
random,17,8,"[5, 1, 6, 4, 0, 7, 3, 2]",1,5000,0.02347957299934933
HC,17,8,"[6, 3, 3, 7, 2, 4, 1, 0]",3,225,0.0005542639992199838
SA,17,8,"[5, 3, 6, 0, 2, 4, 1, 7]",0,1972,0.0060461930006567854
GA,17,8,"[1, 6, 0, 5, 7, 2, 0, 3]",2,5000,0.25382466299925
random,18,8,"[7, 0, 2, 5, 5, 1, 4, 4]",2,5000,0.023058098999172216
HC,18,8,"[6, 1, 7, 5, 3, 0, 7, 4]",1,225,0.0005307989995344542
SA,18,8,"[3, 5, 7, 1, 6, 0, 2, 4]",0,1564,0.004728652998892358
GA,18,8,"[2, 4, 6, 1, 3, 5, 0, 2]",1,5000,0.2548362029992859
random,19,8,"[6, 2, 0, 5, 1, 4, 1, 7]",1,5000,0.02308222499777912
HC,19,8,"[0, 1, 3, 6, 2, 7, 2, 4]",2,169,0.00042338300045230426
SA,19,8,"[4, 0, 7, 3, 1, 6, 2, 5]",0,1770,0.005331886000931263
GA,19,8,"[6, 3, 0, 7, 5, 2, 6, 1]",1,5000,0.2551816890008922
random,20,8,"[2, 6, 1, 7, 4, 3, 0, 5]",2,5000,0.023101609000150347
HC,20,8,"[7, 4, 1, 5, 2, 0, 6, 3]",1,169,0.00040198899660026655
SA,20,8,"[5, 2, 0, 6, 4, 7, 1, 3]",0,1665,0.004972421000275062
GA,20,8,"[2, 0, 5, 1, 4, 6, 3, 7]",1,5000,0.26083859500067774
random,21,8,"[5, 2, 0, 3, 6, 7, 1, 4]",1,5000,0.02310655800101813
HC,21,8,"[5, 0, 6, 4, 7, 1, 3, 2]",1,281,0.000682525998854544
SA,21,8,"[2, 1, 6, 4, 7, 0, 3, 5]",1,2758,0.008401998002227629
